Chessington South Ward,	51.3263196402,	-0.330756432572,	51.3663521906,	-0.28510102442
Tolworth and Hook Rise Ward,	51.3651516285,	-0.308457219737,	51.3832869414,	-0.272569131737
Berrylands Ward,	51.3844224894,	-0.303849640334,	51.3998063491,	-0.275935821581
Alexandra2 Ward,	51.3722653284,	-0.291521729067,	51.3971505092,	-0.261124821527
Beverley Ward,	51.3958397394,	-0.27803677642,	51.4122595228,	-0.244682987714
Coombe Hill Ward,	51.4094831226,	-0.286618828816,	51.4372906974,	-0.247136939218
Chessington North and Hook Ward,	51.3631704083,	-0.318523331128,	51.3758608053,	-0.28409484113
Surbiton Hill Ward,	51.3780360195,	-0.313158544399,	51.3925237804,	-0.287310302009
Old Malden Ward,	51.3787587467,	-0.269900082328,	51.3921489319,	-0.238744586055
St. Mark's Ward,	51.387633358,	-0.317720101875,	51.4017420367,	-0.280291213269
Grove Ward,	51.395494393,	-0.312977946781,	51.4135138596,	-0.276998989047
Canbury Ward,	51.4122574475,	-0.308512009177,	51.4233265234,	-0.283679694544
Norbiton Ward,	51.4006066291,	-0.296763734747,	51.4133686802,	-0.271842603162
Coombe Vale Ward,	51.4021418578,	-0.281071310023,	51.4168184258,	-0.256902966997
St. James Ward,	51.3857952916,	-0.275935821581,	51.3994473159,	-0.240824063904
Tudor Ward,	51.4163509475,	-0.314469206362,	51.4322109207,	-0.286618828816
Coulsdon East Ward,	51.2867601625,	-0.150019959952,	51.3256462631,	-0.0943037809011
Selsdon and Ballards Ward,	51.32125516,	-0.0796167038414,	51.3627871165,	-0.0379927286806
Coulsdon West Ward,	51.3002877875,	-0.161905469637,	51.3399156164,	-0.117298401281
Waddon Ward,	51.3450425242,	-0.124715148061,	51.3755194757,	-0.0977828119778
Kenley Ward,	51.3002968042,	-0.130490003664,	51.3365897934,	-0.0817489033053
Purley Ward,	51.3283842436,	-0.144595445137,	51.3501009808,	-0.0938919371862
Sanderstead Ward,	51.3166824414,	-0.102957466535,	51.3474928027,	-0.0552242384628
Heathfield1 Ward,	51.3298043686,	-0.0688833553998,	51.3785217192,	-0.0106914510258
Fairfield1 Ward,	51.362173466,	-0.107011400885,	51.3827568859,	-0.0634685835223
Broad Green Ward,	51.3705512071,	-0.133260520702,	51.3901865118,	-0.098531961441
West Thornton Ward,	51.3853843074,	-0.134402769772,	51.4018965455,	-0.103719942859
Bensham Manor Ward,	51.3889312308,	-0.118616578728,	51.4053075867,	-0.0931309171643
Norbury Ward,	51.3988022726,	-0.132481096427,	51.42324421,	-0.105433252534
New Addington Ward,	51.3287777658,	-0.0285324656795,	51.3535908946,	0.00328184772971
Croham Ward,	51.3443651085,	-0.106656595173,	51.3667209499,	-0.0691456333584
Fieldway Ward,	51.3462449239,	-0.0305867622843,	51.3612525245,	-0.0052914480339
Shirley Ward,	51.3647985666,	-0.0577942079413,	51.3893447319,	-0.0231197043175
Selhurst Ward,	51.3811229486,	-0.110690619352,	51.399765936,	-0.0770940542992
Ashburton Ward,	51.3741797604,	-0.0747509547684,	51.3949212858,	-0.0414098209549
Woodside1 Ward,	51.3845273977,	-0.0824477947353,	51.4015644159,	-0.0503477742093
Thornton Heath Ward,	51.3950395086,	-0.110017791332,	51.4103773351,	-0.0830116763365
Upper Norwood Ward,	51.4053462579,	-0.115558171104,	51.422818864,	-0.0784560792003
